station_id,name,latitude,longitude
GHCND:USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925
GHCND:USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.61962,-122.36562
GHCND:USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866
GHCND:USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98438,-95.36072
